Target,Analog,Frequency,Set
FL_Volusia,TX_Hidalgo,7,Temperature
FL_Volusia,FL_Martin,6,Temperature
FL_Walton,TX_Frio,9,Temperature
FL_Walton,TX_Maverick,7,Temperature
FL_Walton,FL_Levy,6,Temperature
FL_Walton,FL_Alachua,5,Temperature
FL_Walton,TX_Atascosa,5,Temperature
FL_Walton,FL_Gilchrist,5,Temperature
GA_Appling,TX_Frio,8,Temperature
GA_Appling,TX_Zavala,7,Temperature
GA_Appling,TX_Maverick,7,Temperature
GA_Appling,FL_Levy,6,Temperature
GA_Appling,TX_Atascosa,5,Temperature
GA_Appling,FL_Alachua,5,Temperature
GA_Atkinson,TX_Maverick,9,Temperature
GA_Atkinson,TX_Frio,7,Temperature
GA_Bacon,TX_Zavala,8,Temperature
GA_Bacon,TX_Maverick,7,Temperature
GA_Bacon,TX_Atascosa,6,Temperature
GA_Bacon,TX_Frio,6,Temperature
GA_Bacon,FL_Levy,5,Temperature
GA_Ben Hill,TX_Frio,10,Temperature
GA_Ben Hill,TX_Maverick,8,Temperature
GA_Ben Hill,FL_Gilchrist,6,Temperature
GA_Ben Hill,FL_Alachua,6,Temperature
GA_Berrien,TX_Maverick,9,Temperature
GA_Berrien,TX_Frio,7,Temperature
GA_Berrien,FL_Gilchrist,5,Temperature
GA_Berrien,TX_Zavala,5,Temperature
GA_Brooks,TX_Maverick,9,Temperature
GA_Brooks,TX_Frio,7,Temperature
GA_Brooks,TX_Zavala,7,Temperature
GA_Bulloch,FL_Marion,6,Temperature
GA_Bulloch,TX_Atascosa,6,Temperature
GA_Bulloch,TX_Maverick,6,Temperature
GA_Bulloch,TX_Zavala,5,Temperature
GA_Bulloch,TX_Frio,5,Temperature
GA_Burke,FL_Suwannee,8,Temperature
GA_Burke,FL_Lafayette,7,Temperature
GA_Burke,FL_Alachua,7,Temperature
GA_Burke,FL_Gilchrist,6,Temperature
GA_Candler,TX_Frio,9,Temperature
GA_Candler,TX_Maverick,7,Temperature
GA_Candler,TX_Atascosa,5,Temperature
GA_Candler,TX_Zavala,5,Temperature
GA_Candler,FL_Alachua,5,Temperature
GA_Candler,TX_Uvalde,5,Temperature
GA_Clinch,TX_Maverick,8,Temperature
GA_Clinch,TX_Frio,7,Temperature
GA_Clinch,TX_Zavala,5,Temperature
GA_Colquitt,TX_Maverick,9,Temperature
GA_Colquitt,TX_Zavala,8,Temperature
GA_Colquitt,TX_Atascosa,5,Temperature
GA_Cook,TX_Maverick,10,Temperature
GA_Cook,TX_Frio,7,Temperature
GA_Cook,TX_Zavala,6,Temperature
GA_Cook,TX_Atascosa,5,Temperature
GA_Crisp,TX_Frio,10,Temperature
GA_Crisp,TX_Maverick,7,Temperature
GA_Crisp,TX_Zavala,7,Temperature
GA_Crisp,FL_Alachua,5,Temperature
GA_Decatur,TX_Maverick,7,Temperature
GA_Decatur,TX_Zavala,6,Temperature
GA_Decatur,TX_Frio,5,Temperature
GA_Echols,TX_Maverick,9,Temperature
GA_Echols,TX_Frio,7,Temperature
GA_Echols,TX_Zavala,5,Temperature
GA_Evans,TX_Frio,7,Temperature
GA_Evans,TX_Zavala,6,Temperature
GA_Evans,TX_Maverick,6,Temperature
GA_Evans,FL_Levy,5,Temperature
GA_Grady,TX_Maverick,8,Temperature
GA_Grady,TX_Zavala,5,Temperature
GA_Grady,TX_Frio,5,Temperature
GA_Grady,TX_Atascosa,5,Temperature
GA_Houston,FL_Gilchrist,11,Temperature
GA_Houston,FL_Levy,8,Temperature
GA_Houston,FL_Alachua,7,Temperature
GA_Houston,TX_Frio,6,Temperature
GA_Houston,FL_Suwannee,5,Temperature
GA_Jefferson,FL_Suwannee,8,Temperature
GA_Jefferson,FL_Lafayette,6,Temperature
GA_Jefferson,FL_Gilchrist,5,Temperature
GA_Jefferson,FL_Hamilton,5,Temperature
GA_Jefferson,FL_Alachua,5,Temperature
GA_Lanier,TX_Maverick,9,Temperature
GA_Lanier,TX_Frio,7,Temperature
GA_Lee,TX_Frio,8,Temperature
GA_Lee,TX_Maverick,7,Temperature
GA_Lee,TX_Zavala,6,Temperature
GA_Lee,FL_Alachua,5,Temperature
GA_Lee,FL_Suwannee,5,Temperature
GA_Lee,FL_Levy,5,Temperature
GA_Lowndes,TX_Maverick,8,Temperature
GA_Lowndes,TX_Frio,6,Temperature
GA_Lowndes,TX_Zavala,6,Temperature
GA_Mitchell,TX_Maverick,9,Temperature
GA_Mitchell,TX_Zavala,7,Temperature
GA_Mitchell,TX_Frio,5,Temperature
GA_Montgomery,TX_Frio,7,Temperature
GA_Montgomery,TX_Zavala,7,Temperature
GA_Montgomery,FL_Levy,5,Temperature
GA_Montgomery,TX_Maverick,5,Temperature
GA_Pierce,TX_Maverick,10,Temperature
GA_Pierce,TX_Frio,8,Temperature
GA_Pierce,TX_Zavala,7,Temperature
GA_Pierce,FL_Alachua,5,Temperature
GA_Pierce,TX_Atascosa,5,Temperature
GA_Pulaski,FL_Alachua,7,Temperature
GA_Pulaski,TX_Frio,6,Temperature
GA_Pulaski,FL_Gilchrist,6,Temperature
GA_Pulaski,FL_Suwannee,6,Temperature
GA_Pulaski,TX_Zavala,6,Temperature
GA_Pulaski,FL_Lafayette,5,Temperature
GA_Pulaski,TX_Maverick,5,Temperature
GA_Screven,FL_Alachua,9,Temperature
GA_Screven,FL_Suwannee,6,Temperature
GA_Screven,FL_Gilchrist,6,Temperature
GA_Screven,TX_Frio,5,Temperature
GA_Screven,FL_Levy,5,Temperature
GA_Screven,TX_Zavala,5,Temperature
GA_Seminole,TX_Maverick,7,Temperature
GA_Seminole,TX_Frio,5,Temperature
GA_Seminole,TX_Zavala,5,Temperature
GA_Seminole,TX_Atascosa,5,Temperature
GA_Sumter,FL_Alachua,10,Temperature
GA_Sumter,TX_Frio,7,Temperature
GA_Sumter,FL_Gilchrist,6,Temperature
GA_Sumter,FL_Levy,5,Temperature
GA_Sumter,FL_Suwannee,5,Temperature
GA_Sumter,TX_Atascosa,5,Temperature
GA_Sumter,TX_Zavala,5,Temperature
GA_Tattnall,TX_Maverick,7,Temperature
GA_Tattnall,FL_Levy,6,Temperature
GA_Tattnall,TX_Atascosa,6,Temperature
GA_Tattnall,TX_Frio,6,Temperature
GA_Tattnall,FL_Alachua,5,Temperature
GA_Tattnall,TX_Zavala,5,Temperature
GA_Thomas,TX_Zavala,7,Temperature
GA_Thomas,TX_Maverick,6,Temperature
GA_Thomas,TX_Frio,6,Temperature
GA_Thomas,TX_Atascosa,5,Temperature
GA_Tift,TX_Zavala,5,Temperature
GA_Toombs,TX_Frio,9,Temperature
GA_Toombs,TX_Zavala,7,Temperature
GA_Toombs,TX_Maverick,7,Temperature
GA_Toombs,FL_Levy,6,Temperature
GA_Toombs,FL_Alachua,5,Temperature
GA_Turner,TX_Zavala,6,Temperature
GA_Turner,TX_Atascosa,6,Temperature
GA_Turner,TX_Maverick,6,Temperature
GA_Turner,TX_Frio,5,Temperature
GA_Upson,FL_Lafayette,6,Temperature
GA_Upson,GA_Clinch,5,Temperature
GA_Upson,FL_Hamilton,5,Temperature
GA_Ware,TX_Frio,7,Temperature
GA_Ware,TX_Maverick,7,Temperature
GA_Ware,TX_Zavala,6,Temperature
GA_Ware,TX_Atascosa,6,Temperature
GA_Warren,GA_Lowndes,5,Temperature
GA_Washington,FL_Lafayette,5,Temperature
GA_Washington,FL_Suwannee,5,Temperature
GA_Washington,FL_Alachua,5,Temperature
GA_Wayne,TX_Maverick,11,Temperature
GA_Wayne,TX_Frio,8,Temperature
GA_Wayne,TX_Zavala,7,Temperature
GA_Wayne,TX_Atascosa,7,Temperature
GA_Wilcox,TX_Frio,8,Temperature
GA_Wilcox,TX_Maverick,7,Temperature
GA_Wilcox,FL_Suwannee,6,Temperature
GA_Wilcox,TX_Zavala,6,Temperature
GA_Wilcox,FL_Gilchrist,5,Temperature
GA_Wilcox,FL_Alachua,5,Temperature
GA_Wilcox,TX_Atascosa,5,Temperature
GA_Worth,TX_Maverick,6,Temperature
GA_Worth,TX_Atascosa,6,Temperature
GA_Worth,TX_Zavala,5,Temperature
GA_Worth,TX_Uvalde,5,Temperature
GA_Worth,TX_Frio,5,Temperature
IL_Cook,VA_Westmoreland,5,Temperature
KS_Grant,NM_Eddy,7,Temperature
KS_Grant,TX_Terry,6,Temperature
KS_Grant,NM_Dona Ana,5,Temperature
KS_Grant,TX_Yoakum,5,Temperature
MA_Bristol,CA_San Mateo,16,Temperature
MA_Bristol,VA_Accomack,14,Temperature
MA_Bristol,NJ_Gloucester,5,Temperature
MD_Caroline,NC_Perquimans,6,Temperature
MD_Caroline,NC_Pasquotank,6,Temperature
MD_Worcester,NC_Hyde,7,Temperature
MD_Worcester,CA_Orange,7,Temperature
ME_Aroostook,NY_Wayne,5,Temperature
ME_Aroostook,NY_Monroe,5,Temperature
ME_Cumberland,PA_Lancaster,5,Temperature
MI_Benzie,OR_Curry,6,Temperature
MI_Benzie,OR_Marion,5,Temperature
MI_Benzie,OR_Yamhill,5,Temperature
MI_Berrien,NJ_Salem,5,Temperature
MI_Genesee,DE_Kent,6,Temperature
MI_Lapeer,DE_Kent,5,Temperature
MI_Leelanau,OR_Marion,5,Temperature
MI_Leelanau,OR_Multnomah,5,Temperature
MI_Leelanau,OR_Curry,5,Temperature
MI_Livingston,DE_Kent,7,Temperature
MI_Livingston,NJ_Salem,5,Temperature
MI_Macomb,NJ_Salem,5,Temperature
MI_Macomb,DE_Kent,5,Temperature
MI_Mason,OR_Linn,5,Temperature
MI_Mason,OR_Coos,5,Temperature
MI_Mason,NJ_Salem,5,Temperature
MI_Tuscola,DE_Kent,5,Temperature
MI_Van Buren,DE_Kent,5,Temperature
MS_Calhoun,GA_Lowndes,5,Temperature
MS_Chickasaw,GA_Clinch,6,Temperature
MS_Chickasaw,GA_Lowndes,5,Temperature
MS_Greene,TX_Frio,9,Temperature
MS_Greene,FL_Gilchrist,8,Temperature
MS_Greene,TX_Maverick,7,Temperature
MS_Greene,FL_Alachua,6,Temperature
MS_Greene,FL_Lafayette,5,Temperature
MS_Lamar,TX_Maverick,8,Temperature
MS_Lamar,TX_Frio,7,Temperature
MS_Lamar,TX_Zavala,6,Temperature
MS_Lamar,TX_Atascosa,6,Temperature
MS_Lamar,FL_Alachua,5,Temperature
MS_Lamar,FL_Gilchrist,5,Temperature
MS_Wayne,FL_Gilchrist,10,Temperature
MS_Wayne,TX_Frio,8,Temperature
MS_Wayne,FL_Alachua,7,Temperature
MS_Wayne,FL_Lafayette,5,Temperature
MS_Wayne,TX_Maverick,5,Temperature
MS_Webster,FL_Gilchrist,5,Temperature
MS_Webster,GA_Lowndes,5,Temperature
MS_Yalobusha,GA_Clinch,7,Temperature
MS_Yalobusha,GA_Lowndes,5,Temperature
NC_Chowan,AL_Mobile,8,Temperature
NC_Chowan,TX_Collin,5,Temperature
NC_Hyde,AL_Baldwin,14,Temperature
NC_Hyde,SC_Beaufort,9,Temperature
NC_Pasquotank,AL_Mobile,5,Temperature
NC_Pasquotank,TX_Grayson,5,Temperature
NC_Perquimans,AL_Mobile,7,Temperature
NC_Washington,GA_Tift,5,Temperature
NJ_Mercer,CA_Marin,5,Temperature
NJ_Monmouth,CA_Marin,8,Temperature
NJ_Monmouth,VA_Westmoreland,5,Temperature
NJ_Salem,NC_Pasquotank,6,Temperature
NM_Chaves,TX_Midland,8,Temperature
NM_Chaves,TX_El Paso,7,Temperature
NM_Dona Ana,AZ_Pinal,7,Temperature
NM_Eddy,AZ_Pinal,8,Temperature
NM_Lea,TX_El Paso,6,Temperature
NM_Lea,TX_Midland,5,Temperature
NM_Luna,AZ_Pinal,5,Temperature
NM_Otero,AZ_Pinal,6,Temperature
NM_Otero,TX_El Paso,5,Temperature
NM_Roosevelt,TX_El Paso,11,Temperature
NM_Roosevelt,TX_Hudspeth,5,Temperature
NM_Roosevelt,AZ_Cochise,5,Temperature
NM_San Juan,NM_Chaves,10,Temperature
NM_San Juan,NM_Luna,7,Temperature
NM_San Juan,NM_Lea,6,Temperature
NM_Sierra,TX_El Paso,8,Temperature
NM_Sierra,TX_Midland,5,Temperature
NM_Valencia,TX_Hudspeth,13,Temperature
NM_Valencia,AZ_Cochise,13,Temperature
NM_Valencia,NM_Otero,9,Temperature
NM_Valencia,NM_Luna,9,Temperature
NM_Valencia,NM_Eddy,7,Temperature
NV_Lyon,NM_Valencia,8,Temperature
NY_Cayuga,OR_Curry,7,Temperature
NY_Cayuga,NJ_Gloucester,5,Temperature
NY_Chautauqua,NJ_Salem,5,Temperature
NY_Chautauqua,DE_Kent,5,Temperature
NY_Clinton,OR_Multnomah,6,Temperature
NY_Clinton,OR_Curry,5,Temperature
NY_Clinton,OR_Coos,5,Temperature
NY_Erie,OR_Curry,6,Temperature
NY_Erie,DE_Kent,6,Temperature
NY_Genesee,DE_Kent,6,Temperature
NY_Genesee,NJ_Salem,5,Temperature
NY_Monroe,NJ_Gloucester,8,Temperature
NY_Monroe,OR_Multnomah,6,Temperature
NY_Monroe,CA_San Mateo,6,Temperature
NY_Monroe,OR_Curry,5,Temperature
NY_Monroe,NJ_Salem,5,Temperature
NY_Niagara,NJ_Gloucester,9,Temperature
NY_Niagara,CA_San Mateo,8,Temperature
NY_Niagara,OR_Multnomah,6,Temperature
NY_Niagara,OR_Clackamas,6,Temperature
NY_Niagara,OR_Curry,5,Temperature
NY_Niagara,OR_Marion,5,Temperature
NY_Onondaga,OR_Curry,6,Temperature
NY_Ontario,OR_Curry,7,Temperature
NY_Ontario,NJ_Gloucester,5,Temperature
NY_Orleans,NJ_Gloucester,9,Temperature
NY_Orleans,OR_Multnomah,5,Temperature
NY_Orleans,OR_Curry,5,Temperature
NY_Orleans,CA_San Mateo,5,Temperature
NY_Oswego,DE_Kent,5,Temperature
NY_Seneca,OR_Curry,5,Temperature
NY_Seneca,NJ_Gloucester,5,Temperature
NY_Seneca,NJ_Salem,5,Temperature
NY_Seneca,OR_Multnomah,5,Temperature
NY_Tompkins,OR_Curry,7,Temperature
NY_Wayne,NJ_Gloucester,7,Temperature
NY_Wayne,OR_Curry,6,Temperature
NY_Wayne,OR_Multnomah,6,Temperature
NY_Wayne,CA_San Mateo,6,Temperature
OH_Ashtabula,DE_Kent,5,Temperature
OH_Erie,CA_San Mateo,13,Temperature
OH_Erie,VA_Accomack,10,Temperature
OH_Erie,NJ_Gloucester,10,Temperature
OH_Hancock,MD_Worcester,5,Temperature
OH_Hancock,VA_Westmoreland,5,Temperature
OH_Huron,NJ_Salem,5,Temperature
OH_Ottawa,NJ_Gloucester,6,Temperature
OH_Ottawa,VA_Accomack,5,Temperature
OH_Ottawa,CA_San Mateo,5,Temperature
OH_Putnam,CA_Santa Clara,5,Temperature
OK_Choctaw,FL_Suwannee,6,Temperature
OK_Choctaw,FL_Alachua,6,Temperature
OK_Garvin,FL_Hamilton,5,Temperature
OK_Jefferson,FL_Alachua,8,Temperature
OK_Jefferson,FL_Suwannee,7,Temperature
OK_Jefferson,FL_Gilchrist,6,Temperature
OK_Jefferson,FL_Levy,5,Temperature
OR_Benton,NJ_Gloucester,8,Temperature
OR_Benton,DE_Kent,7,Temperature
OR_Clackamas,NJ_Gloucester,13,Temperature
OR_Clackamas,CA_San Mateo,11,Temperature
OR_Coos,NJ_Gloucester,12,Temperature
OR_Coos,DE_Kent,7,Temperature
OR_Coos,NJ_Salem,6,Temperature
OR_Curry,NJ_Gloucester,7,Temperature
OR_Curry,NJ_Salem,6,Temperature
OR_Douglas,IL_Madison,6,Temperature
OR_Douglas,DE_Sussex,6,Temperature
OR_Klamath,CO_Mesa,5,Temperature
OR_Lane,NJ_Gloucester,8,Temperature
OR_Lane,DE_Kent,7,Temperature
OR_Linn,NJ_Gloucester,7,Temperature
OR_Linn,DE_Kent,7,Temperature
OR_Linn,NJ_Salem,6,Temperature
OR_Marion,NJ_Gloucester,14,Temperature
OR_Marion,CA_San Mateo,11,Temperature
OR_Marion,NJ_Salem,5,Temperature
OR_Multnomah,CA_San Mateo,10,Temperature
OR_Multnomah,NJ_Gloucester,9,Temperature
OR_Polk,DE_Kent,7,Temperature
OR_Polk,NJ_Gloucester,6,Temperature
OR_Polk,NJ_Salem,5,Temperature
OR_Washington,NJ_Gloucester,12,Temperature
OR_Washington,CA_San Mateo,11,Temperature
OR_Washington,DE_Kent,6,Temperature
OR_Washington,NJ_Salem,5,Temperature
OR_Yamhill,NJ_Gloucester,11,Temperature
OR_Yamhill,CA_San Mateo,7,Temperature
OR_Yamhill,NJ_Salem,7,Temperature
OR_Yamhill,DE_Kent,7,Temperature
PA_Chester,CA_Marin,5,Temperature
PA_Erie,DE_Kent,7,Temperature
PA_Erie,NJ_Salem,7,Temperature
PA_Erie,NJ_Gloucester,6,Temperature
PA_Lancaster,VA_Westmoreland,5,Temperature
PA_Lancaster,CA_Marin,5,Temperature
PA_York,CA_Alameda,5,Temperature
RI_Newport,CA_San Mateo,16,Temperature
RI_Newport,VA_Accomack,14,Temperature
RI_Newport,NJ_Gloucester,8,Temperature
SC_Aiken,GA_Lowndes,6,Temperature
SC_Aiken,FL_Gilchrist,5,Temperature
SC_Aiken,GA_Clinch,5,Temperature
SC_Bamberg,FL_Suwannee,7,Temperature
SC_Bamberg,FL_Alachua,6,Temperature
SC_Bamberg,FL_Lafayette,5,Temperature
SC_Bamberg,TX_Uvalde,5,Temperature
SC_Barnwell,FL_Gilchrist,9,Temperature
SC_Barnwell,FL_Lafayette,8,Temperature
SC_Barnwell,FL_Alachua,8,Temperature
SC_Barnwell,FL_Suwannee,8,Temperature
SC_Beaufort,FL_Volusia,10,Temperature
SC_Beaufort,FL_Seminole,8,Temperature
SC_Clarendon,FL_Gilchrist,8,Temperature
SC_Clarendon,FL_Lafayette,7,Temperature
SC_Clarendon,FL_Alachua,6,Temperature
SC_Clarendon,FL_Suwannee,6,Temperature
SC_Lexington,GA_Lowndes,6,Temperature
SC_Lexington,GA_Clinch,5,Temperature
SC_Lexington,FL_Hamilton,5,Temperature
SC_Orangeburg,FL_Suwannee,8,Temperature
SC_Orangeburg,FL_Alachua,6,Temperature
SC_Orangeburg,FL_Levy,5,Temperature
SC_Orangeburg,FL_Gilchrist,5,Temperature
SC_Sumter,GA_Clinch,5,Temperature
SC_Sumter,FL_Gilchrist,5,Temperature
SC_Williamsburg,FL_Gilchrist,7,Temperature
SC_Williamsburg,FL_Lafayette,6,Temperature
SC_Williamsburg,FL_Suwannee,6,Temperature
SC_Williamsburg,GA_Clinch,5,Temperature
SC_Williamsburg,FL_Alachua,5,Temperature
TX_Atascosa,TX_Hidalgo,12,Temperature
TX_Atascosa,FL_Collier,9,Temperature
TX_Austin,TX_Hidalgo,10,Temperature
TX_Austin,FL_Collier,5,Temperature
TX_Bastrop,FL_Collier,7,Temperature
TX_Bastrop,TX_Hidalgo,6,Temperature
TX_Bexar,TX_Hidalgo,9,Temperature
TX_Bexar,FL_Collier,6,Temperature
TX_Bexar,FL_Hendry,5,Temperature
TX_Bosque,FL_Levy,6,Temperature
