State_County,location
WA_Okanogan,48.21875_-119.53125
WA_Okanogan,48.28125_-119.59375
WA_Mason,47.59375_-123.09375
WA_Chelan,48.03125_-120.65625
WA_Okanogan,48.21875_-119.71875
WA_Grays Harbor,47.34375_-124.03125
WA_Chelan,48.03125_-120.53125
WA_Okanogan,48.21875_-119.46875
WA_Okanogan,48.21875_-119.34375
WA_Okanogan,48.21875_-119.28125
WA_Stevens,48.46875_-117.90625
ID_Boundary,48.71875_-116.34375
ID_Boundary,48.71875_-116.28125
WA_Grays Harbor,47.28125_-124.03125
WA_Snohomish,47.78125_-121.65625
WA_Chelan,47.96875_-120.71875
WA_Okanogan,48.15625_-119.59375
WA_Okanogan,48.28125_-118.96875
WA_Stevens,48.40625_-118.15625
WA_Pend Oreille,48.53125_-117.09375
ID_Bonner,48.59375_-116.84375
MT_Flathead,48.96875_-114.21875
WA_Chelan,48.03125_-120.21875
WA_Okanogan,48.09375_-119.71875
WA_Okanogan,48.15625_-119.40625
WA_Ferry,48.28125_-118.65625
WA_Stevens,48.40625_-117.96875
WA_Stevens,48.40625_-117.90625
WA_Stevens,48.40625_-117.84375
ME_Aroostook,47.28125_-68.15625
WA_Okanogan,48.09375_-119.53125
WA_Okanogan,48.15625_-119.21875
WA_Okanogan,48.15625_-119.15625
ME_Aroostook,47.28125_-68.21875
WA_Chelan,47.84375_-120.78125
WA_Douglas,48.03125_-119.71875
WA_Okanogan,48.03125_-119.59375
WA_Pend Oreille,48.40625_-117.09375
WA_Pend Oreille,48.46875_-117.09375
WA_Chelan,47.90625_-120.21875
WA_Chelan,47.90625_-120.15625
WA_Douglas,47.96875_-119.78125
WA_Douglas,48.03125_-119.40625
WA_Douglas,48.09375_-119.09375
WA_Ferry,48.15625_-118.84375
MT_Glacier,48.96875_-113.03125
MT_Glacier,48.96875_-112.96875
ME_Aroostook,47.21875_-68.34375
ME_Aroostook,47.21875_-68.21875
WA_Pend Oreille,48.34375_-117.28125
MT_Glacier,48.90625_-113.40625
MT_Glacier,48.96875_-112.90625
MT_Glacier,48.96875_-112.78125
MT_Glacier,48.96875_-112.71875
WA_Chelan,47.84375_-119.96875
WA_Okanogan,48.03125_-118.96875
MT_Glacier,48.96875_-112.59375
MT_Glacier,48.96875_-112.53125
MT_Glacier,48.90625_-112.40625
MT_Glacier,48.90625_-112.34375
MT_Glacier,48.96875_-112.40625
ME_Aroostook,47.15625_-68.34375
WA_Chelan,47.65625_-120.71875
WA_Douglas,47.90625_-119.65625
WA_Douglas,47.90625_-119.59375
WA_Grant,47.90625_-119.09375
WA_Douglas,47.96875_-119.15625
WA_Stevens,48.21875_-117.71875
WA_Stevens,48.21875_-117.53125
WA_Pend Oreille,48.28125_-117.28125
MT_Flathead,48.78125_-113.78125
MT_Glacier,48.78125_-113.59375
MT_Glacier,48.90625_-112.96875
MT_Glacier,48.90625_-112.90625
MT_Glacier,48.90625_-112.84375
MT_Glacier,48.96875_-112.84375
MT_Glacier,48.90625_-112.71875
MT_Glacier,48.90625_-112.65625
MT_Glacier,48.96875_-112.28125
MT_Glacier,48.96875_-112.21875
MT_Toole,48.96875_-112.15625
MT_Toole,48.96875_-112.03125
WA_Mason,47.15625_-123.28125
WA_Chelan,47.71875_-120.34375
WA_Chelan,47.71875_-120.21875
WA_Douglas,47.71875_-120.15625
WA_Chelan,47.78125_-120.21875
WA_Chelan,47.78125_-120.15625
WA_Chelan,47.78125_-120.09375
WA_Douglas,47.84375_-119.65625
ID_Bonner,48.40625_-116.21875
MT_Lincoln,48.46875_-115.84375
MT_Flathead,48.71875_-113.84375
MT_Glacier,48.84375_-113.03125
MT_Glacier,48.84375_-112.90625
MT_Glacier,48.84375_-112.84375
MT_Glacier,48.84375_-112.78125
MT_Glacier,48.90625_-112.78125
MT_Glacier,48.90625_-112.46875
MT_Toole,48.96875_-111.90625
MT_Toole,48.96875_-111.84375
WA_Grays Harbor,47.03125_-123.78125
WA_King,47.34375_-122.21875
WA_Douglas,47.78125_-119.84375
WA_Douglas,47.78125_-119.78125
WA_Okanogan,47.96875_-118.90625
WA_Ferry,47.96875_-118.84375
WA_Ferry,47.96875_-118.78125
WA_Ferry,47.96875_-118.71875
WA_Okanogan,48.03125_-118.90625
WA_Ferry,48.03125_-118.84375
MT_Glacier,48.78125_-112.96875
MT_Glacier,48.84375_-112.46875
MT_Glacier,48.84375_-112.40625
MT_Glacier,48.84375_-112.34375
MT_Glacier,48.84375_-112.28125
MT_Glacier,48.84375_-112.21875
MT_Glacier,48.90625_-112.28125
MT_Glacier,48.90625_-112.21875
MT_Toole,48.90625_-112.15625
MT_Toole,48.90625_-112.09375
MT_Toole,48.90625_-112.03125
MT_Toole,48.90625_-111.71875
MT_Toole,48.96875_-111.65625
MT_Toole,48.90625_-111.34375
MT_Toole,48.90625_-111.28125
MT_Toole,48.96875_-111.40625
MT_Toole,48.96875_-111.34375
MT_Toole,48.96875_-111.28125
MT_Liberty,48.96875_-111.21875
ME_Aroostook,47.03125_-68.15625
WA_Chelan,47.65625_-120.28125
WA_Douglas,47.65625_-120.03125
WA_Douglas,47.71875_-120.03125
WA_Douglas,47.71875_-119.96875
WA_Douglas,47.71875_-119.90625
WA_Douglas,47.78125_-119.65625
WA_Douglas,47.78125_-119.53125
WA_Douglas,47.78125_-119.46875
WA_Douglas,47.84375_-119.28125
WA_Ferry,47.96875_-118.59375
WA_Stevens,48.09375_-117.71875
ID_Bonner,48.28125_-116.40625
MT_Glacier,48.71875_-113.34375
MT_Glacier,48.71875_-113.28125
MT_Glacier,48.71875_-113.21875
MT_Glacier,48.71875_-113.15625
MT_Glacier,48.78125_-113.28125
MT_Glacier,48.78125_-113.21875
MT_Glacier,48.84375_-113.28125
MT_Glacier,48.84375_-113.15625
MT_Glacier,48.90625_-113.28125
MT_Glacier,48.90625_-113.21875
MT_Glacier,48.90625_-113.15625
MT_Glacier,48.96875_-113.40625
MT_Glacier,48.96875_-113.34375
MT_Glacier,48.96875_-113.28125
MT_Glacier,48.96875_-113.21875
MT_Glacier,48.71875_-112.90625
MT_Glacier,48.78125_-112.90625
MT_Glacier,48.78125_-112.84375
MT_Glacier,48.78125_-112.71875
MT_Glacier,48.78125_-112.65625
MT_Glacier,48.78125_-112.53125
MT_Glacier,48.78125_-112.40625
MT_Toole,48.90625_-111.78125
MT_Liberty,48.96875_-111.09375
ME_Aroostook,46.96875_-68.09375
ME_Aroostook,46.90625_-67.90625
WA_Grays Harbor,47.03125_-123.34375
WA_Chelan,47.59375_-120.28125
WA_Douglas,47.65625_-120.15625
WA_Douglas,47.71875_-119.84375
WA_Douglas,47.71875_-119.65625
WA_Douglas,47.78125_-119.40625
WA_Stevens,47.96875_-118.21875
WA_Stevens,48.03125_-117.78125
MT_Flathead,48.53125_-114.59375
MT_Flathead,48.53125_-114.40625
MT_Flathead,48.59375_-113.96875
MT_Glacier,48.65625_-113.40625
MT_Glacier,48.78125_-112.59375
MT_Glacier,48.78125_-112.46875
MT_Glacier,48.78125_-112.34375
MT_Toole,48.78125_-112.15625
MT_Toole,48.84375_-112.09375
MT_Toole,48.84375_-112.03125
MT_Toole,48.84375_-111.96875
MT_Toole,48.84375_-111.71875
MT_Toole,48.84375_-111.65625
MT_Toole,48.90625_-111.46875
MT_Liberty,48.96875_-110.96875
MT_Liberty,48.96875_-110.84375
WA_Grays Harbor,46.90625_-123.78125
WA_Grays Harbor,46.96875_-123.46875
WA_Chelan,47.53125_-120.53125
WA_Lincoln,47.78125_-118.84375
WA_Lincoln,47.84375_-118.90625
WA_Lincoln,47.84375_-118.84375
MT_Glacier,48.65625_-113.28125
MT_Glacier,48.65625_-113.09375
MT_Glacier,48.65625_-113.03125
MT_Glacier,48.65625_-112.96875
MT_Glacier,48.65625_-112.90625
MT_Glacier,48.71875_-113.03125
MT_Glacier,48.71875_-112.96875
MT_Glacier,48.78125_-113.09375
MT_Glacier,48.78125_-113.03125
MT_Glacier,48.71875_-112.71875
MT_Glacier,48.71875_-112.65625
MT_Glacier,48.78125_-112.28125
MT_Liberty,48.90625_-111.03125
MT_Liberty,48.90625_-110.96875
MT_Liberty,48.90625_-110.90625
MT_Hill,48.96875_-110.65625
MT_Hill,48.96875_-110.59375
MT_Hill,48.96875_-110.53125
MT_Hill,48.96875_-110.46875
ME_Aroostook,47.15625_-69.46875
ME_Aroostook,46.84375_-68.03125
ME_Aroostook,46.84375_-67.96875
WA_Chelan,47.53125_-120.46875
WA_Douglas,47.65625_-119.71875
WA_Spokane,48.03125_-117.53125
WA_Spokane,48.03125_-117.46875
MT_Flathead,48.53125_-114.03125
MT_Glacier,48.65625_-112.84375
MT_Glacier,48.71875_-112.53125
MT_Glacier,48.71875_-112.46875
MT_Glacier,48.71875_-112.40625
MT_Glacier,48.71875_-112.34375
MT_Glacier,48.71875_-112.28125
MT_Toole,48.78125_-111.90625
MT_Toole,48.78125_-111.84375
MT_Liberty,48.90625_-110.84375
MT_Liberty,48.90625_-110.78125
MT_Hill,48.90625_-110.71875
MT_Hill,48.90625_-110.65625
MT_Hill,48.90625_-110.59375
MT_Hill,48.96875_-110.28125
MT_Hill,48.96875_-110.21875
MT_Hill,48.96875_-110.15625
ME_Aroostook,46.84375_-68.09375
ME_Aroostook,46.78125_-67.84375
ME_Aroostook,46.71875_-67.90625
ME_Aroostook,46.71875_-67.84375
ME_Aroostook,46.78125_-67.90625
ME_Aroostook,46.84375_-67.84375
WA_Grays Harbor,46.96875_-123.34375
WA_Douglas,47.59375_-119.96875
MT_Glacier,48.65625_-112.65625
MT_Glacier,48.65625_-112.53125
MT_Toole,48.71875_-111.78125
MT_Toole,48.71875_-111.71875
MT_Toole,48.78125_-111.78125
MT_Toole,48.78125_-111.71875
WA_King,47.21875_-121.90625
WA_Chelan,47.46875_-120.46875
WA_Chelan,47.46875_-120.40625
WA_Chelan,47.46875_-120.34375
WA_Douglas,47.53125_-120.28125
WA_Douglas,47.40625_-120.15625
WA_Douglas,47.40625_-119.96875
WA_Douglas,47.46875_-120.15625
WA_Douglas,47.46875_-120.09375
WA_Douglas,47.53125_-120.15625
WA_Douglas,47.59375_-119.78125
WA_Grant,47.71875_-119.15625
WA_Lincoln,47.78125_-118.78125
WA_Lincoln,47.78125_-118.71875
WA_Lincoln,47.84375_-118.28125
WA_Lincoln,47.84375_-118.21875
WA_Spokane,48.03125_-117.28125
MT_Glacier,48.59375_-113.03125
MT_Glacier,48.65625_-112.78125
MT_Glacier,48.65625_-112.59375
MT_Glacier,48.65625_-112.46875
MT_Glacier,48.71875_-112.21875
MT_Toole,48.71875_-112.15625
MT_Toole,48.71875_-112.09375
MT_Toole,48.71875_-112.03125
MT_Toole,48.71875_-111.65625
MT_Toole,48.71875_-111.59375
MT_Toole,48.78125_-111.65625
MT_Toole,48.78125_-111.59375
MT_Liberty,48.84375_-110.90625
MT_Liberty,48.84375_-110.84375
MT_Hill,48.84375_-110.59375
MT_Hill,48.84375_-110.53125
MT_Hill,48.84375_-110.46875
MT_Hill,48.90625_-110.46875
MT_Hill,48.90625_-110.40625
MT_Hill,48.90625_-110.34375
MT_Hill,48.90625_-110.28125
MT_Hill,48.90625_-110.21875
MT_Hill,48.90625_-109.96875
MT_Hill,48.90625_-109.90625
MT_Hill,48.96875_-109.90625
MT_Hill,48.96875_-109.84375
MT_Hill,48.90625_-109.78125
MT_Hill,48.90625_-109.71875
MT_Hill,48.96875_-109.78125
MT_Hill,48.96875_-109.71875
ME_Aroostook,46.84375_-68.15625
ME_Aroostook,46.78125_-67.96875
WA_Grays Harbor,46.84375_-123.21875
WA_Grays Harbor,46.90625_-123.28125
WA_Pierce,47.15625_-121.96875
WA_Douglas,47.59375_-119.65625
WA_Lincoln,47.78125_-118.46875
WA_Stevens,47.90625_-117.78125
MT_Lincoln,48.28125_-115.15625
MT_Glacier,48.59375_-112.53125
MT_Glacier,48.59375_-112.46875
MT_Glacier,48.59375_-112.40625
MT_Glacier,48.65625_-112.40625
MT_Glacier,48.65625_-112.34375
MT_Glacier,48.65625_-112.28125
MT_Glacier,48.65625_-112.21875
MT_Toole,48.65625_-112.15625
MT_Toole,48.65625_-112.09375
MT_Toole,48.65625_-112.03125
MT_Toole,48.65625_-111.90625
MT_Toole,48.71875_-111.90625
MT_Toole,48.71875_-111.84375
MT_Liberty,48.78125_-111.15625
MT_Liberty,48.78125_-110.84375
MT_Hill,48.84375_-110.21875
MT_Hill,48.84375_-110.15625
MT_Hill,48.90625_-110.15625
MT_Hill,48.90625_-110.09375
MT_Hill,48.78125_-109.96875
MT_Hill,48.78125_-109.90625
MT_Hill,48.84375_-109.96875
MT_Hill,48.84375_-109.90625
MT_Hill,48.96875_-109.53125
MT_Blaine,48.96875_-109.46875
MT_Blaine,48.96875_-109.34375
ME_Aroostook,46.78125_-68.15625
ME_Aroostook,46.78125_-68.09375
WA_Pacific,46.78125_-123.78125
WA_Thurston,46.96875_-122.59375
WA_Pierce,47.09375_-122.21875
WA_Douglas,47.40625_-120.21875
WA_Douglas,47.46875_-120.21875
WA_Douglas,47.53125_-119.78125
WA_Douglas,47.53125_-119.59375
WA_Douglas,47.53125_-119.53125
WA_Grant,47.53125_-119.46875
WA_Grant,47.59375_-119.40625
WA_Grant,47.59375_-119.34375
WA_Grant,47.65625_-119.03125
WA_Lincoln,47.71875_-118.59375
WA_Lincoln,47.71875_-118.53125
WA_Spokane,47.90625_-117.53125
MT_Sanders,48.15625_-115.96875
MT_Flathead,48.34375_-114.59375
MT_Glacier,48.46875_-113.46875
MT_Glacier,48.53125_-112.96875
MT_Glacier,48.59375_-112.59375
MT_Toole,48.65625_-111.96875
MT_Toole,48.65625_-111.84375
MT_Toole,48.71875_-111.53125
MT_Toole,48.71875_-111.46875
MT_Toole,48.71875_-111.40625
MT_Toole,48.71875_-111.34375
MT_Toole,48.71875_-111.28125
MT_Toole,48.78125_-111.46875
MT_Toole,48.78125_-111.40625
MT_Toole,48.78125_-111.34375
MT_Toole,48.84375_-111.59375
MT_Toole,48.84375_-111.53125
MT_Toole,48.84375_-111.40625
MT_Toole,48.84375_-111.34375
MT_Liberty,48.78125_-110.78125
MT_Hill,48.78125_-110.71875
MT_Hill,48.78125_-110.59375
MT_Hill,48.78125_-110.53125
MT_Hill,48.84375_-110.34375
MT_Hill,48.84375_-109.71875
MT_Hill,48.90625_-109.65625
MT_Hill,48.90625_-109.59375
MT_Hill,48.90625_-109.53125
MT_Blaine,48.84375_-109.09375
MT_Blaine,48.84375_-109.03125
MT_Blaine,48.84375_-108.96875
MT_Blaine,48.84375_-108.90625
MT_Blaine,48.84375_-108.71875
MT_Blaine,48.90625_-109.09375
MT_Blaine,48.90625_-109.03125
MT_Blaine,48.90625_-108.96875
MT_Blaine,48.90625_-108.90625
MT_Blaine,48.90625_-108.84375
MT_Blaine,48.90625_-108.78125
MT_Blaine,48.90625_-108.71875
MT_Blaine,48.96875_-109.15625
MT_Blaine,48.96875_-109.09375
MT_Blaine,48.96875_-109.03125
MT_Blaine,48.96875_-108.78125
MT_Blaine,48.96875_-108.71875
ME_Aroostook,46.71875_-68.09375
ME_Aroostook,46.71875_-68.03125
WA_Douglas,47.46875_-119.84375
WA_Grant,47.59375_-119.15625
WA_Grant,47.59375_-119.09375
WA_Grant,47.59375_-119.03125
WA_Lincoln,47.65625_-118.84375
WA_Lincoln,47.71875_-118.21875
WA_Lincoln,47.78125_-118.15625
WA_Lincoln,47.78125_-118.09375
WA_Lincoln,47.78125_-117.96875
MT_Flathead,48.34375_-114.28125
MT_Flathead,48.40625_-113.53125
MT_Glacier,48.53125_-112.65625
MT_Glacier,48.59375_-112.34375
MT_Glacier,48.59375_-112.21875
MT_Toole,48.59375_-112.09375
MT_Toole,48.65625_-111.78125
MT_Toole,48.65625_-111.71875
MT_Toole,48.65625_-111.65625
MT_Toole,48.65625_-111.59375
MT_Toole,48.65625_-111.53125
MT_Liberty,48.71875_-111.21875
MT_Liberty,48.71875_-111.15625
MT_Liberty,48.71875_-111.03125
MT_Liberty,48.71875_-110.96875
MT_Liberty,48.78125_-110.96875
MT_Hill,48.78125_-110.65625
MT_Hill,48.71875_-110.53125
MT_Hill,48.78125_-110.46875
MT_Hill,48.78125_-110.40625
MT_Hill,48.84375_-110.03125
MT_Hill,48.84375_-109.84375
MT_Hill,48.84375_-109.78125
MT_Blaine,48.96875_-108.65625
MT_Blaine,48.96875_-108.59375
ME_Aroostook,46.65625_-67.96875
WA_Thurston,46.78125_-122.96875
WA_Thurston,46.84375_-123.03125
WA_Pierce,46.96875_-122.46875
WA_Pierce,46.96875_-122.40625
WA_Pierce,47.09375_-121.84375
WA_Pierce,47.09375_-121.71875
WA_Pierce,47.09375_-121.65625
WA_Douglas,47.46875_-119.59375
WA_Lincoln,47.59375_-118.84375
WA_Lincoln,47.65625_-118.34375
WA_Spokane,47.84375_-117.46875
WA_Spokane,47.84375_-117.40625
MT_Lincoln,48.15625_-115.34375
MT_Flathead,48.28125_-114.34375
MT_Glacier,48.46875_-112.71875
MT_Glacier,48.53125_-112.46875
MT_Toole,48.59375_-112.03125
MT_Toole,48.59375_-111.90625
MT_Toole,48.59375_-111.84375
MT_Toole,48.59375_-111.78125
MT_Toole,48.65625_-111.46875
MT_Toole,48.65625_-111.34375
MT_Toole,48.65625_-111.28125
MT_Liberty,48.65625_-111.21875
MT_Liberty,48.71875_-110.84375
MT_Liberty,48.71875_-110.78125
MT_Hill,48.71875_-110.71875
MT_Hill,48.71875_-110.65625
MT_Hill,48.71875_-110.59375
MT_Hill,48.78125_-110.21875
MT_Hill,48.78125_-110.15625
MT_Hill,48.78125_-110.09375
MT_Hill,48.78125_-110.03125
MT_Hill,48.84375_-109.53125
MT_Blaine,48.90625_-108.40625
MT_Blaine,48.96875_-108.28125
ME_Aroostook,46.65625_-68.09375
WA_Thurston,46.78125_-123.09375
WA_Chelan,47.34375_-120.28125
WA_Grant,47.40625_-119.78125
WA_Grant,47.46875_-119.40625
WA_Grant,47.53125_-119.15625
WA_Grant,47.53125_-119.09375
WA_Lincoln,47.59375_-118.65625
WA_Lincoln,47.65625_-118.28125
WA_Lincoln,47.65625_-118.21875
WA_Lincoln,47.65625_-118.15625
WA_Lincoln,47.65625_-118.09375
WA_Lincoln,47.71875_-118.03125
WA_Lincoln,47.71875_-117.96875
WA_Lincoln,47.71875_-117.90625
WA_Lincoln,47.71875_-117.84375
WA_Spokane,47.78125_-117.71875
WA_Spokane,47.78125_-117.65625
MT_Flathead,48.21875_-114.65625
MT_Flathead,48.21875_-114.34375
MT_Flathead,48.28125_-114.28125
MT_Flathead,48.28125_-114.15625
MT_Flathead,48.28125_-114.03125
MT_Glacier,48.53125_-112.40625
MT_Toole,48.53125_-112.15625
MT_Toole,48.53125_-112.09375
MT_Toole,48.53125_-112.03125
MT_Toole,48.53125_-111.96875
MT_Toole,48.53125_-111.90625
MT_Toole,48.53125_-111.84375
MT_Toole,48.53125_-111.71875
MT_Toole,48.59375_-111.71875
MT_Toole,48.59375_-111.65625
MT_Toole,48.59375_-111.59375
MT_Toole,48.59375_-111.53125
MT_Toole,48.59375_-111.46875
MT_Toole,48.59375_-111.40625
MT_Toole,48.59375_-111.28125
MT_Liberty,48.59375_-111.21875
MT_Liberty,48.65625_-111.15625
MT_Liberty,48.65625_-111.09375
MT_Liberty,48.65625_-111.03125
MT_Liberty,48.65625_-110.96875
MT_Hill,48.65625_-110.59375
MT_Hill,48.65625_-110.53125
MT_Hill,48.65625_-110.40625
MT_Hill,48.65625_-110.34375
MT_Hill,48.65625_-110.28125
MT_Hill,48.71875_-110.40625
MT_Hill,48.71875_-110.34375
MT_Hill,48.71875_-110.28125
MT_Hill,48.71875_-110.21875
MT_Hill,48.71875_-110.03125
MT_Hill,48.71875_-109.96875
MT_Hill,48.78125_-109.84375
MT_Hill,48.78125_-109.78125
MT_Hill,48.78125_-109.71875
MT_Hill,48.78125_-109.65625
MT_Blaine,48.90625_-108.28125
MT_Phillips,48.96875_-107.84375
ME_Aroostook,46.59375_-68.03125
ME_Aroostook,46.59375_-67.96875
WA_Kittitas,47.21875_-120.46875
WA_Chelan,47.28125_-120.28125
WA_Lincoln,47.53125_-118.84375
WA_Spokane,47.71875_-117.78125
WA_Spokane,47.71875_-117.65625
WA_Spokane,47.78125_-117.21875
MT_Flathead,48.21875_-114.21875
MT_Flathead,48.21875_-114.15625
MT_Pondera,48.46875_-112.34375
MT_Pondera,48.46875_-112.21875
MT_Toole,48.46875_-112.15625
MT_Toole,48.46875_-111.96875
MT_Liberty,48.59375_-111.15625
MT_Liberty,48.59375_-111.09375
MT_Liberty,48.65625_-110.78125
MT_Hill,48.71875_-110.15625
MT_Hill,48.71875_-109.71875
MT_Hill,48.78125_-109.53125
MT_Blaine,48.78125_-109.40625
MT_Phillips,48.96875_-107.53125
MT_Phillips,48.96875_-107.46875
WA_Grant,47.34375_-119.84375
WA_Grant,47.40625_-119.46875
WA_Grant,47.46875_-119.03125
WA_Lincoln,47.46875_-118.96875
WA_Lincoln,47.53125_-118.78125
WA_Lincoln,47.53125_-118.65625
WA_Lincoln,47.53125_-118.59375
WA_Lincoln,47.59375_-118.28125
WA_Lincoln,47.65625_-117.84375
WA_Spokane,47.71875_-117.53125
MT_Flathead,48.21875_-114.09375
MT_Glacier,48.34375_-112.96875
MT_Toole,48.46875_-112.09375
MT_Toole,48.46875_-111.90625
MT_Toole,48.46875_-111.84375
MT_Toole,48.53125_-111.59375
MT_Toole,48.53125_-111.53125
MT_Liberty,48.59375_-111.03125
MT_Liberty,48.59375_-110.96875
MT_Liberty,48.59375_-110.90625
MT_Liberty,48.59375_-110.84375
MT_Hill,48.65625_-110.21875
MT_Hill,48.65625_-110.15625
MT_Hill,48.65625_-110.09375
MT_Hill,48.71875_-110.09375
MT_Hill,48.71875_-109.84375
MT_Hill,48.71875_-109.59375
MT_Hill,48.71875_-109.53125
MT_Blaine,48.78125_-109.21875
MT_Blaine,48.78125_-109.09375
MT_Blaine,48.78125_-109.03125
MT_Blaine,48.78125_-108.96875
MT_Blaine,48.84375_-108.53125
MT_Phillips,48.90625_-107.59375
MT_Pondera,48.40625_-112.28125
MT_Pondera,48.40625_-112.15625
MT_Pondera,48.40625_-112.09375
MT_Pondera,48.46875_-112.28125
MT_Glacier,48.53125_-112.28125
MT_Liberty,48.53125_-110.84375
MT_Liberty,48.53125_-110.78125
MT_Liberty,48.59375_-110.78125
MT_Liberty,48.65625_-110.90625
MT_Liberty,48.65625_-110.84375
MT_Blaine,48.78125_-108.65625
MT_Blaine,48.78125_-108.59375
MT_Blaine,48.78125_-108.53125
MT_Blaine,48.78125_-108.46875
MT_Blaine,48.84375_-108.59375
MT_Blaine,48.84375_-108.46875
MT_Blaine,48.90625_-108.65625
WA_Lincoln,47.59375_-118.21875
WA_Lincoln,47.59375_-118.15625
MT_Hill,48.59375_-110.71875
MT_Hill,48.65625_-110.71875
MT_Hill,48.59375_-110.46875
MT_Hill,48.59375_-110.40625
MT_Hill,48.65625_-110.46875
MT_Blaine,48.78125_-108.40625
MT_Blaine,48.78125_-108.34375
MT_Blaine,48.78125_-108.28125
MT_Blaine,48.84375_-108.40625
MT_Blaine,48.84375_-108.34375
MT_Blaine,48.84375_-108.28125
MT_Phillips,48.90625_-107.53125
MT_Phillips,48.90625_-107.46875
WA_Thurston,46.78125_-122.84375
WA_Thurston,46.78125_-122.78125
MT_Pondera,48.21875_-112.65625
MT_Pondera,48.21875_-112.59375
MT_Pondera,48.21875_-112.53125
MT_Pondera,48.21875_-112.46875
MT_Pondera,48.21875_-112.40625
MT_Pondera,48.28125_-112.53125
MT_Pondera,48.28125_-112.46875
MT_Pondera,48.28125_-112.40625
MT_Glacier,48.34375_-112.71875
MT_Glacier,48.34375_-112.65625
MT_Glacier,48.34375_-112.59375
MT_Pondera,48.34375_-112.40625
MT_Glacier,48.40625_-112.71875
