Target,Analog,Frequency,Set
CA_Calaveras,CA_Fresno,8,Derived Variables
CA_Colusa,CA_Kern,16,Derived Variables
CA_Colusa,CA_Riverside,14,Derived Variables
CA_Colusa,CA_Kings,14,Derived Variables
CA_Colusa,CA_San Bernardino,12,Derived Variables
CA_Colusa,CA_Tulare,11,Derived Variables
CA_Colusa,CA_Fresno,5,Derived Variables
CA_Contra Costa,CA_Stanislaus,12,Derived Variables
CA_Contra Costa,CA_Merced,12,Derived Variables
CA_Contra Costa,CA_Riverside,10,Derived Variables
CA_Contra Costa,CA_Kern,9,Derived Variables
CA_Contra Costa,CA_Fresno,9,Derived Variables
CA_Contra Costa,CA_Yolo,6,Derived Variables
CA_Contra Costa,CA_Sutter,5,Derived Variables
CA_Contra Costa,CA_Tulare,5,Derived Variables
CA_El Dorado,CA_Calaveras,10,Derived Variables
CA_El Dorado,CA_Shasta,9,Derived Variables
CA_El Dorado,CA_Placer,7,Derived Variables
CA_El Dorado,CA_Nevada,7,Derived Variables
CA_El Dorado,CA_Los Angeles,5,Derived Variables
CA_Fresno,CA_San Bernardino,16,Derived Variables
CA_Fresno,CA_Riverside,15,Derived Variables
CA_Fresno,CA_Kern,9,Derived Variables
CA_Fresno,AZ_Pinal,8,Derived Variables
CA_Fresno,CA_Kings,7,Derived Variables
CA_Glenn,CA_Kern,17,Derived Variables
CA_Glenn,CA_Riverside,15,Derived Variables
CA_Glenn,CA_San Bernardino,14,Derived Variables
CA_Glenn,CA_Kings,8,Derived Variables
CA_Glenn,CA_Tulare,8,Derived Variables
CA_Kern,AZ_Pinal,12,Derived Variables
CA_Kern,CA_San Bernardino,8,Derived Variables
CA_Kern,CA_Riverside,8,Derived Variables
CA_Kern,AZ_Maricopa,7,Derived Variables
CA_Kern,TX_Zavala,6,Derived Variables
CA_Kings,CA_San Bernardino,13,Derived Variables
CA_Kings,CA_Riverside,13,Derived Variables
CA_Kings,AZ_Pinal,9,Derived Variables
CA_Kings,CA_Kern,7,Derived Variables
CA_Los Angeles,CA_Riverside,17,Derived Variables
CA_Los Angeles,CA_Kern,17,Derived Variables
CA_Los Angeles,CA_Tulare,10,Derived Variables
CA_Los Angeles,CA_Fresno,9,Derived Variables
CA_Los Angeles,CA_Kings,9,Derived Variables
CA_Los Angeles,TX_Uvalde,7,Derived Variables
CA_Los Angeles,TX_Travis,6,Derived Variables
CA_Madera,CA_Riverside,16,Derived Variables
CA_Madera,CA_San Bernardino,15,Derived Variables
CA_Madera,CA_Kern,10,Derived Variables
CA_Madera,CA_Kings,7,Derived Variables
CA_Marin,CA_Orange,17,Derived Variables
CA_Marin,CA_Ventura,15,Derived Variables
CA_Marin,CA_Santa Barbara,14,Derived Variables
CA_Marin,CA_Marin,10,Derived Variables
CA_Mendocino,CA_Solano,12,Derived Variables
CA_Mendocino,CA_Sacramento,12,Derived Variables
CA_Mendocino,CA_San Luis Obispo,11,Derived Variables
CA_Mendocino,CA_Yolo,6,Derived Variables
CA_Mendocino,CA_Napa,6,Derived Variables
CA_Mendocino,CA_Sutter,5,Derived Variables
CA_Mendocino,CA_Colusa,5,Derived Variables
CA_Mendocino,CA_San Joaquin,5,Derived Variables
CA_Merced,CA_Riverside,17,Derived Variables
CA_Merced,CA_San Bernardino,15,Derived Variables
CA_Merced,CA_Kern,12,Derived Variables
CA_Merced,CA_Kings,8,Derived Variables
CA_Merced,CA_Tulare,8,Derived Variables
CA_Modoc,ID_Canyon,9,Derived Variables
CA_Modoc,ID_Ada,7,Derived Variables
CA_Modoc,CO_Mesa,5,Derived Variables
CA_Monterey,CA_Ventura,16,Derived Variables
CA_Monterey,CA_San Diego,15,Derived Variables
CA_Monterey,CA_San Benito,13,Derived Variables
CA_Monterey,CA_Contra Costa,11,Derived Variables
CA_Monterey,CA_Alameda,10,Derived Variables
CA_Napa,CA_Stanislaus,12,Derived Variables
CA_Napa,CA_Merced,12,Derived Variables
CA_Napa,CA_Yuba,11,Derived Variables
CA_Napa,CA_Riverside,9,Derived Variables
CA_Napa,CA_Yolo,8,Derived Variables
CA_Napa,CA_Sutter,7,Derived Variables
CA_Napa,CA_Fresno,7,Derived Variables
CA_Napa,CA_Kern,6,Derived Variables
CA_Napa,CA_Tulare,5,Derived Variables
CA_Nevada,CA_Kern,15,Derived Variables
CA_Nevada,CA_Tulare,15,Derived Variables
CA_Nevada,CA_Kings,15,Derived Variables
CA_Nevada,CA_Riverside,14,Derived Variables
CA_Nevada,CA_Fresno,11,Derived Variables
CA_Nevada,CA_San Bernardino,6,Derived Variables
CA_Placer,CA_Riverside,16,Derived Variables
CA_Placer,CA_Kern,16,Derived Variables
CA_Placer,CA_Kings,10,Derived Variables
CA_Placer,CA_Tulare,9,Derived Variables
CA_Placer,CA_Fresno,8,Derived Variables
CA_Placer,CA_San Bernardino,8,Derived Variables
CA_Riverside,TX_Maverick,11,Derived Variables
CA_Riverside,TX_Zavala,10,Derived Variables
CA_Riverside,CA_Imperial,6,Derived Variables
CA_Riverside,AZ_Pinal,5,Derived Variables
CA_Sacramento,CA_Kern,17,Derived Variables
CA_Sacramento,CA_Riverside,15,Derived Variables
CA_Sacramento,CA_Tulare,11,Derived Variables
CA_Sacramento,CA_Kings,11,Derived Variables
CA_Sacramento,CA_Fresno,8,Derived Variables
CA_San Benito,CA_Sacramento,14,Derived Variables
CA_San Benito,CA_San Joaquin,14,Derived Variables
CA_San Benito,CA_Solano,12,Derived Variables
CA_San Benito,CA_Sutter,10,Derived Variables
CA_San Benito,CA_San Diego,7,Derived Variables
CA_San Benito,CA_Placer,5,Derived Variables
CA_San Benito,CA_Stanislaus,5,Derived Variables
CA_San Benito,CA_Merced,5,Derived Variables
CA_San Bernardino,AZ_Maricopa,17,Derived Variables
CA_San Bernardino,AZ_Pinal,17,Derived Variables
CA_San Bernardino,AZ_Yuma,13,Derived Variables
CA_San Diego,CA_Riverside,16,Derived Variables
CA_San Diego,TX_Brazoria,11,Derived Variables
CA_San Joaquin,CA_Kern,16,Derived Variables
CA_San Joaquin,CA_Riverside,15,Derived Variables
CA_San Joaquin,CA_Kings,9,Derived Variables
CA_San Joaquin,CA_Tulare,8,Derived Variables
CA_San Joaquin,CA_Fresno,8,Derived Variables
CA_San Luis Obispo,CA_Sutter,16,Derived Variables
CA_San Luis Obispo,CA_Colusa,15,Derived Variables
CA_San Luis Obispo,CA_San Joaquin,14,Derived Variables
CA_San Luis Obispo,CA_Riverside,10,Derived Variables
CA_San Luis Obispo,CA_Sacramento,10,Derived Variables
CA_San Luis Obispo,CA_Merced,8,Derived Variables
CA_San Luis Obispo,CA_Solano,6,Derived Variables
CA_Santa Barbara,CA_Orange,17,Derived Variables
CA_Santa Barbara,CA_Santa Barbara,15,Derived Variables
CA_Santa Clara,CA_San Diego,15,Derived Variables
CA_Santa Clara,CA_Ventura,13,Derived Variables
CA_Santa Clara,CA_Solano,13,Derived Variables
CA_Santa Clara,CA_Los Angeles,12,Derived Variables
CA_Santa Clara,CA_Contra Costa,9,Derived Variables
CA_Santa Clara,CA_Stanislaus,7,Derived Variables
CA_Shasta,CA_Kings,16,Derived Variables
CA_Shasta,CA_Tulare,16,Derived Variables
CA_Shasta,CA_Fresno,16,Derived Variables
CA_Shasta,CA_Kern,13,Derived Variables
CA_Shasta,CA_Madera,10,Derived Variables
CA_Siskiyou,UT_Davis,9,Derived Variables
CA_Siskiyou,WA_Franklin,6,Derived Variables
CA_Siskiyou,WA_Benton,5,Derived Variables
CA_Solano,CA_Riverside,15,Derived Variables
CA_Solano,CA_Kern,15,Derived Variables
CA_Solano,CA_Tulare,15,Derived Variables
CA_Solano,CA_Kings,14,Derived Variables
CA_Solano,CA_Fresno,13,Derived Variables
CA_Sonoma,CA_Ventura,17,Derived Variables
CA_Sonoma,CA_San Diego,15,Derived Variables
CA_Sonoma,CA_Contra Costa,14,Derived Variables
CA_Sonoma,CA_Solano,11,Derived Variables
CA_Sonoma,CA_Napa,7,Derived Variables
CA_Sonoma,CA_Alameda,6,Derived Variables
CA_Sonoma,CA_Sacramento,5,Derived Variables
CA_Stanislaus,CA_Riverside,17,Derived Variables
CA_Stanislaus,CA_Kern,15,Derived Variables
CA_Stanislaus,CA_Kings,11,Derived Variables
CA_Stanislaus,CA_San Bernardino,10,Derived Variables
CA_Stanislaus,CA_Tulare,8,Derived Variables
CA_Stanislaus,CA_Fresno,7,Derived Variables
CA_Sutter,CA_Kern,17,Derived Variables
CA_Sutter,CA_Riverside,16,Derived Variables
CA_Sutter,CA_San Bernardino,14,Derived Variables
CA_Sutter,CA_Kings,9,Derived Variables
CA_Sutter,CA_Tulare,8,Derived Variables
CA_Tehama,CA_Kern,17,Derived Variables
CA_Tehama,CA_San Bernardino,16,Derived Variables
CA_Tehama,CA_Riverside,14,Derived Variables
CA_Tehama,CA_Kings,12,Derived Variables
CA_Tehama,CA_Tulare,8,Derived Variables
CA_Tulare,CA_San Bernardino,13,Derived Variables
CA_Tulare,CA_Riverside,12,Derived Variables
CA_Tulare,AZ_Pinal,9,Derived Variables
CA_Tulare,CA_Kern,8,Derived Variables
CA_Ventura,TX_Brazoria,12,Derived Variables
CA_Ventura,CA_Ventura,10,Derived Variables
CA_Ventura,CA_San Diego,8,Derived Variables
CA_Ventura,CA_Orange,6,Derived Variables
CA_Yolo,CA_Kern,17,Derived Variables
CA_Yolo,CA_Riverside,15,Derived Variables
CA_Yolo,CA_Kings,14,Derived Variables
CA_Yolo,CA_San Bernardino,9,Derived Variables
CA_Yolo,CA_Tulare,8,Derived Variables
CA_Yolo,CA_Fresno,8,Derived Variables
CA_Yuba,CA_Riverside,17,Derived Variables
CA_Yuba,CA_Kern,17,Derived Variables
CA_Yuba,CA_San Bernardino,13,Derived Variables
CA_Yuba,CA_Tulare,8,Derived Variables
CA_Yuba,CA_Kings,8,Derived Variables
DE_Kent,AR_Jefferson,5,Derived Variables
DE_Sussex,AR_Jefferson,9,Derived Variables
FL_Alachua,CA_Imperial,5,Derived Variables
FL_Brevard,TX_Hidalgo,15,Derived Variables
FL_Brevard,TX_Cameron,15,Derived Variables
FL_Charlotte,TX_Hidalgo,15,Derived Variables
FL_Charlotte,TX_Cameron,15,Derived Variables
FL_Collier,TX_Hidalgo,15,Derived Variables
FL_Columbia,TX_Maverick,7,Derived Variables
FL_Escambia,TX_Zavala,7,Derived Variables
FL_Escambia,TX_Maverick,6,Derived Variables
FL_Escambia,TX_Atascosa,6,Derived Variables
FL_Escambia,TX_Frio,6,Derived Variables
FL_Gadsden,TX_Maverick,9,Derived Variables
FL_Gadsden,TX_Frio,6,Derived Variables
FL_Gadsden,TX_Zavala,5,Derived Variables
FL_Gadsden,TX_Atascosa,5,Derived Variables
FL_Gilchrist,TX_Maverick,6,Derived Variables
FL_Gilchrist,CA_Imperial,5,Derived Variables
FL_Hamilton,TX_Maverick,8,Derived Variables
FL_Hardee,TX_Hidalgo,15,Derived Variables
FL_Hardee,TX_Cameron,15,Derived Variables
FL_Hendry,TX_Hidalgo,15,Derived Variables
FL_Hendry,TX_Cameron,15,Derived Variables
FL_Hendry,TX_Willacy,6,Derived Variables
FL_Hernando,TX_Hidalgo,14,Derived Variables
FL_Hernando,CA_Imperial,7,Derived Variables
FL_Hernando,AZ_Yuma,7,Derived Variables
FL_Highlands,TX_Hidalgo,15,Derived Variables
FL_Highlands,TX_Cameron,15,Derived Variables
FL_Highlands,TX_Willacy,6,Derived Variables
FL_Hillsborough,TX_Hidalgo,16,Derived Variables
FL_Hillsborough,TX_Cameron,15,Derived Variables
FL_Indian River,TX_Hidalgo,15,Derived Variables
FL_Indian River,TX_Cameron,15,Derived Variables
FL_Indian River,TX_Willacy,7,Derived Variables
FL_Jackson,TX_Maverick,10,Derived Variables
FL_Jackson,TX_Atascosa,7,Derived Variables
FL_Jackson,TX_Frio,7,Derived Variables
FL_Jefferson,TX_Maverick,9,Derived Variables
FL_Jefferson,TX_Frio,5,Derived Variables
FL_Lafayette,TX_Maverick,9,Derived Variables
FL_Lake,TX_Hidalgo,16,Derived Variables
FL_Lee,TX_Hidalgo,15,Derived Variables
FL_Levy,CA_Imperial,5,Derived Variables
FL_Manatee,TX_Hidalgo,15,Derived Variables
FL_Manatee,TX_Cameron,15,Derived Variables
FL_Marion,TX_Hidalgo,6,Derived Variables
FL_Marion,CA_Imperial,6,Derived Variables
FL_Marion,AZ_Yuma,6,Derived Variables
FL_Martin,TX_Hidalgo,14,Derived Variables
FL_Okeechobee,TX_Hidalgo,14,Derived Variables
FL_Okeechobee,TX_Cameron,14,Derived Variables
FL_Okeechobee,TX_Willacy,7,Derived Variables
FL_Orange,TX_Hidalgo,16,Derived Variables
FL_Osceola,TX_Hidalgo,16,Derived Variables
FL_Osceola,TX_Cameron,11,Derived Variables
FL_Palm Beach,TX_Cameron,15,Derived Variables
FL_Palm Beach,TX_Willacy,15,Derived Variables
FL_Palm Beach,TX_Hidalgo,14,Derived Variables
FL_Pasco,TX_Hidalgo,16,Derived Variables
FL_Polk,TX_Hidalgo,16,Derived Variables
FL_Polk,TX_Cameron,14,Derived Variables
FL_Putnam,CA_Imperial,6,Derived Variables
FL_Putnam,TX_Hidalgo,5,Derived Variables
FL_Putnam,AZ_Yuma,5,Derived Variables
FL_Sarasota,TX_Hidalgo,15,Derived Variables
FL_Sarasota,TX_Cameron,15,Derived Variables
FL_Sarasota,TX_Willacy,6,Derived Variables
FL_Seminole,TX_Hidalgo,15,Derived Variables
FL_Suwannee,TX_Maverick,8,Derived Variables
FL_Suwannee,CA_Imperial,5,Derived Variables
FL_Volusia,TX_Hidalgo,15,Derived Variables
FL_Volusia,CA_Imperial,5,Derived Variables
FL_Volusia,AZ_Yuma,5,Derived Variables
FL_Walton,TX_Frio,7,Derived Variables
FL_Walton,TX_Maverick,7,Derived Variables
FL_Walton,TX_Atascosa,6,Derived Variables
FL_Walton,TX_Zavala,6,Derived Variables
GA_Appling,TX_Maverick,12,Derived Variables
GA_Appling,TX_Frio,7,Derived Variables
GA_Appling,TX_Zavala,6,Derived Variables
GA_Appling,TX_Atascosa,6,Derived Variables
GA_Atkinson,TX_Maverick,10,Derived Variables
GA_Atkinson,TX_Frio,9,Derived Variables
GA_Atkinson,TX_Zavala,5,Derived Variables
GA_Bacon,TX_Maverick,10,Derived Variables
GA_Bacon,TX_Zavala,7,Derived Variables
GA_Bacon,TX_Frio,6,Derived Variables
GA_Bacon,TX_Atascosa,5,Derived Variables
GA_Ben Hill,TX_Frio,9,Derived Variables
GA_Ben Hill,TX_Maverick,7,Derived Variables
GA_Ben Hill,TX_Zavala,6,Derived Variables
GA_Ben Hill,TX_Atascosa,6,Derived Variables
GA_Berrien,TX_Maverick,9,Derived Variables
GA_Berrien,TX_Frio,9,Derived Variables
GA_Brooks,TX_Maverick,9,Derived Variables
GA_Brooks,TX_Frio,6,Derived Variables
GA_Bulloch,TX_Zavala,9,Derived Variables
GA_Bulloch,TX_Atascosa,9,Derived Variables
GA_Bulloch,TX_Frio,8,Derived Variables
GA_Bulloch,TX_Maverick,8,Derived Variables
GA_Burke,TX_Uvalde,7,Derived Variables
GA_Burke,TX_Guadalupe,6,Derived Variables
GA_Burke,TX_Bastrop,6,Derived Variables
GA_Burke,TX_Washington,5,Derived Variables
GA_Burke,TX_Fayette,5,Derived Variables
GA_Candler,TX_Frio,10,Derived Variables
GA_Candler,TX_Maverick,10,Derived Variables
GA_Candler,TX_Zavala,8,Derived Variables
GA_Candler,TX_Atascosa,8,Derived Variables
GA_Clinch,TX_Maverick,10,Derived Variables
GA_Colquitt,TX_Maverick,8,Derived Variables
GA_Colquitt,TX_Zavala,8,Derived Variables
GA_Colquitt,TX_Frio,6,Derived Variables
GA_Colquitt,TX_Atascosa,5,Derived Variables
GA_Cook,TX_Maverick,9,Derived Variables
GA_Cook,TX_Frio,8,Derived Variables
GA_Cook,TX_Zavala,7,Derived Variables
GA_Cook,TX_Atascosa,5,Derived Variables
GA_Crisp,TX_Frio,9,Derived Variables
GA_Crisp,TX_Maverick,8,Derived Variables
GA_Crisp,TX_Zavala,7,Derived Variables
GA_Crisp,TX_Atascosa,7,Derived Variables
GA_Decatur,TX_Maverick,10,Derived Variables
GA_Decatur,TX_Frio,6,Derived Variables
GA_Decatur,TX_Zavala,5,Derived Variables
GA_Decatur,AZ_Maricopa,5,Derived Variables
GA_Echols,TX_Maverick,9,Derived Variables
GA_Echols,TX_Frio,6,Derived Variables
GA_Evans,TX_Frio,9,Derived Variables
GA_Evans,TX_Maverick,8,Derived Variables
GA_Evans,TX_Atascosa,8,Derived Variables
GA_Evans,TX_Zavala,7,Derived Variables
GA_Grady,TX_Maverick,9,Derived Variables
GA_Grady,TX_Frio,6,Derived Variables
GA_Grady,TX_Zavala,5,Derived Variables
GA_Houston,TX_Frio,7,Derived Variables
GA_Houston,TX_Uvalde,5,Derived Variables
GA_Houston,TX_Wilson,5,Derived Variables
GA_Jefferson,TX_Guadalupe,6,Derived Variables
GA_Jefferson,TX_Uvalde,5,Derived Variables
GA_Jefferson,TX_Bastrop,5,Derived Variables
GA_Jefferson,TX_Caldwell,5,Derived Variables
GA_Lanier,TX_Maverick,9,Derived Variables
GA_Lanier,TX_Frio,7,Derived Variables
GA_Lee,TX_Frio,8,Derived Variables
GA_Lee,TX_Zavala,8,Derived Variables
GA_Lee,TX_Maverick,7,Derived Variables
GA_Lee,TX_Atascosa,7,Derived Variables
GA_Lowndes,TX_Maverick,9,Derived Variables
GA_Lowndes,TX_Zavala,5,Derived Variables
GA_Mitchell,TX_Maverick,10,Derived Variables
GA_Mitchell,TX_Zavala,8,Derived Variables
GA_Mitchell,TX_Frio,7,Derived Variables
GA_Mitchell,TX_Atascosa,5,Derived Variables
GA_Montgomery,TX_Frio,9,Derived Variables
GA_Montgomery,TX_Maverick,9,Derived Variables
GA_Montgomery,TX_Atascosa,7,Derived Variables
GA_Montgomery,TX_Zavala,6,Derived Variables
GA_Pierce,TX_Maverick,10,Derived Variables
GA_Pierce,TX_Frio,6,Derived Variables
GA_Pulaski,TX_Frio,9,Derived Variables
GA_Pulaski,TX_Wilson,7,Derived Variables
GA_Pulaski,TX_Maverick,7,Derived Variables
GA_Pulaski,TX_Atascosa,6,Derived Variables
GA_Screven,TX_Frio,9,Derived Variables
GA_Screven,TX_Wilson,8,Derived Variables
GA_Screven,TX_Atascosa,6,Derived Variables
GA_Screven,TX_Maverick,5,Derived Variables
GA_Screven,TX_Uvalde,5,Derived Variables
GA_Seminole,TX_Maverick,10,Derived Variables
GA_Seminole,TX_Frio,6,Derived Variables
GA_Seminole,TX_Zavala,5,Derived Variables
GA_Sumter,TX_Maverick,6,Derived Variables
GA_Sumter,TX_Uvalde,5,Derived Variables
GA_Sumter,TX_Frio,5,Derived Variables
GA_Sumter,TX_Wilson,5,Derived Variables
GA_Tattnall,TX_Maverick,10,Derived Variables
GA_Tattnall,TX_Frio,9,Derived Variables
GA_Tattnall,TX_Zavala,7,Derived Variables
GA_Tattnall,TX_Atascosa,6,Derived Variables
GA_Thomas,TX_Maverick,9,Derived Variables
GA_Thomas,TX_Zavala,6,Derived Variables
GA_Tift,TX_Frio,8,Derived Variables
GA_Tift,TX_Maverick,7,Derived Variables
GA_Tift,TX_Zavala,6,Derived Variables
GA_Tift,TX_Atascosa,6,Derived Variables
GA_Toombs,TX_Maverick,11,Derived Variables
GA_Toombs,TX_Frio,10,Derived Variables
GA_Toombs,TX_Zavala,6,Derived Variables
GA_Toombs,TX_Atascosa,6,Derived Variables
GA_Turner,TX_Frio,9,Derived Variables
GA_Turner,TX_Atascosa,7,Derived Variables
GA_Turner,TX_Maverick,6,Derived Variables
GA_Turner,TX_Zavala,5,Derived Variables
GA_Upson,TX_Travis,6,Derived Variables
GA_Upson,TX_Caldwell,6,Derived Variables
GA_Upson,TX_Uvalde,5,Derived Variables
GA_Ware,TX_Maverick,9,Derived Variables
GA_Ware,TX_Frio,5,Derived Variables
GA_Washington,TX_Uvalde,6,Derived Variables
GA_Washington,TX_Guadalupe,5,Derived Variables
GA_Washington,TX_Caldwell,5,Derived Variables
GA_Wayne,TX_Maverick,11,Derived Variables
GA_Wayne,TX_Frio,7,Derived Variables
GA_Wilcox,TX_Frio,9,Derived Variables
GA_Wilcox,TX_Maverick,7,Derived Variables
GA_Wilcox,TX_Atascosa,6,Derived Variables
GA_Wilcox,TX_Zavala,5,Derived Variables
GA_Wilcox,TX_Wilson,5,Derived Variables
GA_Worth,TX_Frio,9,Derived Variables
GA_Worth,TX_Atascosa,7,Derived Variables
GA_Worth,TX_Maverick,6,Derived Variables
GA_Worth,TX_Zavala,6,Derived Variables
ID_Ada,UT_Davis,7,Derived Variables
ID_Ada,ID_Canyon,5,Derived Variables
ID_Ada,WA_Benton,5,Derived Variables
ID_Bingham,ID_Payette,12,Derived Variables
ID_Bingham,ID_Canyon,9,Derived Variables
ID_Bingham,ID_Gooding,6,Derived Variables
ID_Bingham,ID_Washington,5,Derived Variables
ID_Bonneville,ID_Payette,11,Derived Variables
ID_Bonneville,ID_Canyon,9,Derived Variables
ID_Bonneville,ID_Gooding,6,Derived Variables
ID_Bonneville,ID_Ada,6,Derived Variables
ID_Bonneville,ID_Washington,5,Derived Variables
ID_Butte,ID_Payette,10,Derived Variables
ID_Butte,ID_Washington,10,Derived Variables
ID_Butte,ID_Gooding,8,Derived Variables
ID_Caribou,ID_Washington,10,Derived Variables
ID_Caribou,ID_Gooding,9,Derived Variables
ID_Caribou,ID_Ada,5,Derived Variables
ID_Caribou,ID_Payette,5,Derived Variables
ID_Cassia,ID_Payette,11,Derived Variables
ID_Cassia,ID_Canyon,9,Derived Variables
ID_Elmore,ID_Gooding,12,Derived Variables
ID_Elmore,ID_Payette,12,Derived Variables
ID_Elmore,ID_Canyon,8,Derived Variables
ID_Elmore,ID_Washington,7,Derived Variables
ID_Elmore,ID_Ada,6,Derived Variables
ID_Fremont,ID_Jerome,6,Derived Variables
ID_Fremont,OR_Malheur,5,Derived Variables
ID_Gooding,ID_Payette,6,Derived Variables
ID_Gooding,ID_Canyon,6,Derived Variables
ID_Jefferson,ID_Payette,11,Derived Variables
ID_Jefferson,ID_Washington,9,Derived Variables
ID_Jefferson,ID_Gooding,8,Derived Variables
ID_Jefferson,ID_Canyon,5,Derived Variables
ID_Jerome,ID_Payette,10,Derived Variables
ID_Jerome,ID_Canyon,6,Derived Variables
ID_Jerome,UT_Davis,5,Derived Variables
ID_Madison,OR_Malheur,7,Derived Variables
ID_Madison,ID_Washington,5,Derived Variables
ID_Minidoka,ID_Payette,11,Derived Variables
ID_Minidoka,ID_Canyon,7,Derived Variables
ID_Owyhee,ID_Canyon,9,Derived Variables
ID_Owyhee,ID_Payette,8,Derived Variables
ID_Owyhee,UT_Davis,8,Derived Variables
ID_Payette,UT_Davis,7,Derived Variables
ID_Payette,WA_Benton,5,Derived Variables
ID_Power,ID_Payette,13,Derived Variables
ID_Power,ID_Canyon,12,Derived Variables
ID_Twin Falls,ID_Payette,9,Derived Variables
ID_Twin Falls,UT_Davis,8,Derived Variables
ID_Twin Falls,ID_Canyon,7,Derived Variables
ID_Washington,ID_Canyon,13,Derived Variables
ID_Washington,UT_Davis,13,Derived Variables
ID_Washington,ID_Payette,11,Derived Variables
