value,Koppen_Class,Category
CA_Ventura,"Csb  Temperate, dry summer, warm summer",Speciality Crop
CA_Yolo,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Yuba,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CO_Adams,"BSk  Arid, steppe, cold",Non Speciality Crop
CO_Alamosa,"BSk  Arid, steppe, cold",Speciality Crop
CO_Boulder,"BSk  Arid, steppe, cold",Speciality Crop
CO_Costilla,"BSk  Arid, steppe, cold",Speciality Crop
CO_Delta,"BSk  Arid, steppe, cold",Speciality Crop
CO_Mesa,"BSk  Arid, steppe, cold",Speciality Crop
CO_Montezuma,"BSk  Arid, steppe, cold",Non Speciality Crop
CO_Montrose,"Dfb  Cold, no dry season, warm summer",Speciality Crop
CO_Morgan,"BSk  Arid, steppe, cold",Non Speciality Crop
CO_Otero,"BSk  Arid, steppe, cold",Speciality Crop
CO_Pueblo,"BSk  Arid, steppe, cold",Speciality Crop
CO_Rio Grande,"BSk  Arid, steppe, cold",Speciality Crop
CO_Saguache,"Dfc  Cold, no dry season, cold summer",Speciality Crop
CO_Weld,"BSk  Arid, steppe, cold",Speciality Crop
CO_Yuma,"BSk  Arid, steppe, cold",Speciality Crop
CT_Fairfield,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
CT_Hartford,"Dfa  Cold, no dry season, hot summer",Speciality Crop
CT_Litchfield,"Dfb  Cold, no dry season, warm summer",Speciality Crop
CT_New Haven,"Dfa  Cold, no dry season, hot summer",Speciality Crop
CT_Tolland,"Dfa  Cold, no dry season, hot summer",Speciality Crop
CT_Windham,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
DE_Kent,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
DE_New Castle,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
DE_Sussex,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Alachua,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Bradford,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
FL_Brevard,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Charlotte,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Collier,"Aw   Tropical, savannah",Speciality Crop
FL_Columbia,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Duval,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
FL_Escambia,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Flagler,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Gadsden,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Gilchrist,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Hamilton,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Hardee,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Hendry,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Hernando,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Highlands,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Hillsborough,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Holmes,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
FL_Indian River,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Jackson,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Jefferson,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Lafayette,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Lake,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Lee,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Leon,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
FL_Levy,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Manatee,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Marion,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Martin,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Miami-Dade,"Aw   Tropical, savannah",Speciality Crop
FL_Okaloosa,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
FL_Okeechobee,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Orange,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Osceola,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Palm Beach,"Am   Tropical, monsoon",Speciality Crop
FL_Pasco,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Polk,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Putnam,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Sarasota,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Seminole,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Suwannee,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Volusia,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
FL_Walton,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Appling,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Atkinson,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Bacon,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Banks,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
GA_Ben Hill,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Berrien,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Brooks,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Bulloch,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Burke,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Candler,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Clinch,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Coffee,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
GA_Colquitt,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Cook,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Crisp,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Decatur,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Dooly,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
GA_Echols,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Evans,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Gilmer,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
GA_Grady,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Hancock,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
GA_Houston,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Jeff Davis,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
GA_Jefferson,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Jenkins,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
GA_Lanier,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Laurens,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
GA_Lee,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Lowndes,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Mitchell,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Montgomery,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Pierce,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Pulaski,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Screven,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Seminole,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Sumter,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Tattnall,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Terrell,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
GA_Thomas,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Tift,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Toombs,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Turner,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Union,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
GA_Upson,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Ware,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Warren,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Washington,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Wayne,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Wilcox,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
GA_Worth,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
ID_Ada,"BWk  Arid, desert, cold",Speciality Crop
ID_Bingham,"BSk  Arid, steppe, cold",Speciality Crop
ID_Bonneville,"Dfb  Cold, no dry season, warm summer",Speciality Crop
ID_Butte,"BSk  Arid, steppe, cold",Speciality Crop
ID_Canyon,"BSk  Arid, steppe, cold",Speciality Crop
ID_Caribou,"Dfb  Cold, no dry season, warm summer",Speciality Crop
ID_Cassia,"BSk  Arid, steppe, cold",Speciality Crop
ID_Elmore,"Dsb  Cold, dry summer, warm summer",Speciality Crop
ID_Fremont,"Dfb  Cold, no dry season, warm summer",Speciality Crop
ID_Gem,"BSk  Arid, steppe, cold",Non Speciality Crop
ID_Gooding,"BSk  Arid, steppe, cold",Speciality Crop
ID_Jefferson,"BSk  Arid, steppe, cold",Speciality Crop
ID_Jerome,"BSk  Arid, steppe, cold",Speciality Crop
ID_Madison,"BSk  Arid, steppe, cold",Speciality Crop
ID_Minidoka,"BSk  Arid, steppe, cold",Speciality Crop
ID_Owyhee,"BSk  Arid, steppe, cold",Speciality Crop
ID_Payette,"BSk  Arid, steppe, cold",Speciality Crop
ID_Power,"BSk  Arid, steppe, cold",Speciality Crop
ID_Teton,"Dfb  Cold, no dry season, warm summer",Speciality Crop
ID_Twin Falls,"BSk  Arid, steppe, cold",Speciality Crop
ID_Washington,"BSk  Arid, steppe, cold",Speciality Crop
IL_Cook,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IL_De Kalb,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IL_Henry,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IL_Jackson,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IL_Kane,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IL_Kankakee,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IL_Kendall,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IL_La Salle,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IL_Lake,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IL_Lee,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IL_Logan,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IL_Madison,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IL_Marshall,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IL_Mason,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IL_Moultrie,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IL_Ogle,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IL_Peoria,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IL_Rock Island,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IL_Stark,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IL_Tazewell,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IL_Union,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
IL_White,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IL_Whiteside,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IL_Will,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IL_Woodford,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IN_Bartholomew,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IN_Clark,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
IN_Daviess,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IN_Elkhart,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IN_Gibson,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IN_Grant,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IN_Henry,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IN_Jackson,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IN_Knox,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IN_Madison,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IN_Parke,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IN_Porter,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IN_Randolph,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IN_Shelby,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IN_Sullivan,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IA_Dallas,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Hardin,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IA_Johnson,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Kossuth,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Louisa,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Mitchell,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Muscatine,"Dfa  Cold, no dry season, hot summer",Speciality Crop
IA_Polk,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Douglas,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Grant,"BSk  Arid, steppe, cold",Speciality Crop
KS_Labette,"Dfa  Cold, no dry season, hot summer",Speciality Crop
KS_Miami,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Riley,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Stafford,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Allen,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Christian,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Daviess,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Pulaski,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Scott,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Shelby,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Todd,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Avoyelles,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
LA_Caddo,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
LA_Grant,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
LA_Morehouse,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Natchitoches,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
LA_Ouachita,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Pointe Coupee,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
LA_Rapides,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
LA_Saint Martin,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Tangipahoa,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_West Carroll,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
ME_Androscoggin,"Dfb  Cold, no dry season, warm summer",Speciality Crop
ME_Aroostook,"Dfb  Cold, no dry season, warm summer",Speciality Crop
ME_Cumberland,"Dfb  Cold, no dry season, warm summer",Speciality Crop
ME_Kennebec,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
ME_Knox,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
ME_Lincoln,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
ME_Oxford,"Dfb  Cold, no dry season, warm summer",Speciality Crop
ME_Penobscot,"Dfb  Cold, no dry season, warm summer",Speciality Crop
ME_Waldo,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
ME_Washington,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
ME_York,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MD_Baltimore,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
MD_Caroline,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
MD_Carroll,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MD_Charles,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
MD_Frederick,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MD_Harford,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MD_Montgomery,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MD_Washington,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MD_Wicomico,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
MD_Worcester,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
MA_Berkshire,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MA_Bristol,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MA_Franklin,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MA_Hampden,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MA_Hampshire,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MA_Middlesex,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MA_Norfolk,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MA_Plymouth,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MA_Worcester,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MI_Allegan,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MI_Antrim,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Arenac,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Bay,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Benzie,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Berrien,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MI_Branch,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MI_Calhoun,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MI_Cass,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MI_Clinton,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MI_Delta,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Dickinson,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Eaton,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MI_Genesee,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MI_Gladwin,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MI_Grand Traverse,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Gratiot,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MI_Hillsdale,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MI_Ionia,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MI_Iron,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Isabella,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Jackson,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MI_Kalamazoo,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MI_Kalkaska,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Kent,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Lapeer,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Leelanau,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Lenawee,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MI_Livingston,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MI_Macomb,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MI_Manistee,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Mason,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Mecosta,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Midland,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MI_Monroe,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MI_Montcalm,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Muskegon,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Newaygo,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Oakland,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MI_Oceana,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Otsego,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Ottawa,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MI_Presque Isle,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Saginaw,"Dfa  Cold, no dry season, hot summer",Speciality Crop
MI_Sanilac,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Tuscola,"Dfb  Cold, no dry season, warm summer",Speciality Crop
MI_Van Buren,"Dfa  Cold, no dry season, hot summer",Speciality Crop
